1 100 -20 20 101
-10.0 -5247.0
-9.8 -4944.44
-9.6 -4653.8
-9.4 -4374.84
-9.2 -4107.32
-9.0 -3851.0
-8.8 -3605.64
-8.6 -3371.0
-8.4 -3146.84
-8.2 -2932.92
-8.0 -2729.0
-7.8 -2534.84
-7.6 -2350.2
-7.4 -2174.84
-7.2 -2008.52
-7.0 -1851.0
-6.8 -1702.04
-6.6 -1561.4
-6.4 -1428.84
-6.2 -1304.12
-6.0 -1187.0
-5.8 -1077.24
-5.6 -974.6
-5.4 -878.84
-5.2 -789.72
-5.0 -707.0
-4.8 -630.44
-4.6 -559.8
-4.4 -494.84
-4.2 -435.32
-4.0 -381.0
-3.8 -331.64
-3.6 -287.0
-3.4 -246.84
-3.2 -210.92
-3.0 -179.0
-2.8 -150.84
-2.6 -126.2
-2.4 -104.84
-2.2 -86.52
-2.0 -71.0
-1.8 -58.04
-1.6 -47.4
-1.4 -38.84
-1.2 -32.12
-1.0 -27.0
-0.8 -23.24
-0.6 -20.6
-0.4 -18.84
-0.2 -17.72
0.0 -17.0
0.2 -16.44
0.4 -15.8
0.6 -14.84
0.8 -13.32
1.0 -11.0
1.2 -7.64
1.4 -3.0
1.6 3.16
1.8 11.08
2.0 21.0
2.2 33.16
2.4 47.8
2.6 65.16
2.8 85.48
3.0 109.0
3.2 135.96
3.4 166.6
3.6 201.16
3.8 239.88
4.0 283.0
4.2 330.76
4.4 383.4
4.6 441.16
4.8 504.28
5.0 573.0
5.2 647.56
5.4 728.2
5.6 815.16
5.8 908.68
6.0 1009.0
6.2 1116.36
6.4 1231.0
6.6 1353.16
6.8 1483.08
7.0 1621.0
7.2 1767.16
7.4 1921.8
7.6 2085.16
7.8 2257.48
8.0 2439.0
8.2 2629.96
8.4 2830.6
8.6 3041.16
8.8 3261.88
9.0 3493.0
9.2 3734.76
9.4 3987.4
9.6 4251.16
9.8 4526.28
10.0 4813.0
